Категория;Подкатегория 2;Подкатегория 3;Артикул;Артикул модификации;Имя товара;Категория (полный путь);Цена;Дата продажи;Цена старая;Цена закупки;Количество;Описание;Краткое описание;Производитель;Вес;Meta title;Meta keywords;Meta description;Фото (через пробел);Ссылки на фото (через пробел);Ссылка на товар на источнике;Характеристики (HTML/Table);Вид;Тип;Интерфейс подключения;Количество каналов;Аудиочип;Поддержка стандартов;Поддержка ASIO;Разрядность;Макс. частота дискретизации;Соотношение сигнал/шум;Дополнительно;mini-Jack (3.5 мм);Оптический S/P-DIF;RCA;Поддержка Mac;Дополнительное питание;Динамический диапазон;Коаксиальный S/P-DIF;Jack (6.35 мм);Для iPhone/iPod/iPad;MIDI;Поколение связи;Технология передачи;Оператор (провайдер);Функции/возможности;Подключение и разъемы;Питание;Габариты;Вес;Скорость подключения Wi-Fi;Радиус действия;Кол-во подключаемых устройств;Ёмкость аккумулятора;Время работы в режиме интернет-серфинга;Время работы в режиме ожидания
Компьютерная техника;Комплектующие;Звуковые карты;615167;;Звуковая карта Creative Sound Blaster E3;Компьютерная техника->Комплектующие->Звуковые карты;7362,3;31.05.2021;;;13;"Соотношение сигнал/шум (дБ): 112; Макс. частота дискретизации (кГц): 96; Разрядность (бит): 24; Для iPhone/iPod/iPad; Поддержка Mac; Количество каналов: 2; Интерфейс подключения: USB; Тип: внешняя; Вид: обычная <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>3</span> из <span property=""v:best"">5</span> (<span property=""v:count"">3</span> оценки)</span></div>";;Creative;0;;;;615167_-628852483.jpg eu2de0y5k41_-1383564060.jpg eu2dfjl9vp1_-1607125045.jpg eu2dg128dq1_-1148040398.jpg eu2dg7741p1_562453019.jpg;http://magazilla.ru/jpg_zoom1/615167.jpg http://mzimg.com/big/41/eu2de0y5k41.jpg http://mzimg.com/big/p1/eu2dfjl9vp1.jpg http://mzimg.com/big/q1/eu2dg128dq1.jpg http://mzimg.com/big/p1/eu2dg7741p1.jpg;http://magazilla.ru/desc/creative-sound-blaster-e3/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Для iPhone/iPod/iPad</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>112 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>2</td>
</tr>

</table>

";обычная;внешняя;USB;2;;;;24 бит;96 кГц;112 дБ;Усилитель для наушников;2;;;да;;;;;да;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;358030;;Звуковая карта Creative Sound Blaster X-Fi Go! Pro;Компьютерная техника->Комплектующие->Звуковые карты;2926;20.04.2021;;;6;"Макс. частота дискретизации (кГц): 44.1; Разрядность (бит): 24; Количество каналов: 2; Интерфейс подключения: USB; Тип: внешняя; Вид: обычная <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">13</span> оценок)</span></div>";;Creative;0;;;;358030_-1517025404.jpg edhszjru801_-1383197273.jpg edht3b5kgs1_-286429966.jpg;http://magazilla.ru/jpg_zoom1/358030.jpg http://mzimg.com/big/01/edhszjru801.jpg http://mzimg.com/big/s1/edht3b5kgs1.jpg;http://magazilla.ru/desc/creative-sound-blaster-x-fi-go--pro/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Аудиочип</td><td>X-Fi</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>EAX 5.0, OpenAL</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>44.1 кГц</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1</td>
</tr>

</table>

";обычная;внешняя;USB;2;X-Fi;EAX 5.0, OpenAL;;24 бит;44.1 кГц;;;1;;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346859;;Звуковая карта Creative Sound Blaster Recon3D PCIe;Компьютерная техника->Комплектующие->Звуковые карты;2750;18.10.2019;;;4;"Модель предназначена для максимально качественной передача звукового сопровождения в компьютерных играх. Сконструирована на основе популярного аудиочипа Sound Core3D. Обеспечивает возможность воспроизведения объёмного 5.1-канального звука с 24-битным разрешением, максимальная частота дискретизации составляет 96 кГц, а соотношение сигнал/шум находится на уровне 102 дБ. Отдельного внимания заслуживает встроенный усилитель для наушников с сопротивлением до 600 Ом. Среди прочего отметим поддержку технологии EAX 5.0 HD. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>3</span> из <span property=""v:best"">5</span> (<span property=""v:count"">10</span> оценок)</span></div>";;Creative;0;;;;346859_1854796228.jpg;http://magazilla.ru/jpg_zoom1/346859.jpg;http://magazilla.ru/desc/creative-sound-blaster-recon3d-pcie/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>Sound Core3D</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>EAX 5.0 HD</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>102 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников / до 600 Ом /</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";геймерская;внутренняя;PCIe;05.янв;Sound Core3D;EAX 5.0 HD;да;24 бит;96 кГц;102 дБ;Усилитель для наушников / до 600 Ом /;1 / линейный/микрофон /;1;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;698676;;Звуковая карта NAD DAC 2;Компьютерная техника->Комплектующие->Звуковые карты;22000;02.06.2020;;;12;"Соотношение сигнал/шум (дБ): 80; Макс. частота дискретизации (кГц): 96; Разрядность (бит): 24; Дополнительное питание; Количество каналов: 2; Интерфейс подключения: USB; Тип: внешняя";;NAD;0;;;;698676_220289503.jpg eydby99y7u1_596506807.jpg f7j3o2cq971_-1878640439.jpg fjranl11w71_1712419114.jpg;http://magazilla.ru/jpg_zoom1/698676.jpg http://mzimg.com/big/u1/eydby99y7u1.jpg http://mzimg.com/big/71/f7j3o2cq971.jpg http://mzimg.com/big/71/fjranl11w71.jpg;http://magazilla.ru/desc/nad-dac-2/;"<table>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Дополнительное питание</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>80 дБ</td>
</tr>

<tr>

<td>RCA</td><td>2</td>
</tr>

<tr>

<td>Коаксиальный S/P-DIF</td><td>1</td>
</tr>

</table>

";;внешняя;USB;2;;;;24 бит;96 кГц;80 дБ;;;;2;;да;;1;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;353732;;Звуковая карта Cambridge DacMagic XS;Компьютерная техника->Комплектующие->Звуковые карты;9889;25.06.2022;;;7;"Соотношение сигнал/шум (дБ): 103; Макс. частота дискретизации (кГц): 192; Разрядность (бит): 24; Поддержка Mac; Количество каналов: 2; Интерфейс подключения: USB; Тип: внешняя; Вид: ЦАП";;Cambridge;0;;;;353732_448727067.jpg ed348wtgj01_-121342801.jpg;http://magazilla.ru/jpg_zoom1/353732.jpg http://mzimg.com/big/01/ed348wtgj01.jpg;http://magazilla.ru/desc/cambridge-dacmagic-xs/;"<table>

<tr>

<td>Вид</td><td>ЦАП</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Аудиочип</td><td>ESS9023</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>103 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1</td>
</tr>

</table>

";ЦАП;внешняя;USB;2;ESS9023;;;24 бит;192 кГц;103 дБ;Усилитель для наушников;1;;;да;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;442212;;Звуковая карта Korg DS-DAC-100M;Компьютерная техника->Комплектующие->Звуковые карты;22660;26.12.2020;;;5;"Соотношение сигнал/шум (дБ): 105; Макс. частота дискретизации (кГц): 192; Разрядность (бит): 24; Поддержка Mac; Количество каналов: 2; Интерфейс подключения: USB; Тип: внешняя; Вид: ЦАП";;Korg;0;;;;442212_-1443221947.jpg ejd9wbvwy51_-1686078602.jpg ejd9wib7211_-1700815325.jpg ejd9woiv9l1_1000582377.jpg ejd9wv1myj1_-1654536569.jpg;http://magazilla.ru/jpg_zoom1/442212.jpg http://mzimg.com/big/51/ejd9wbvwy51.jpg http://mzimg.com/big/11/ejd9wib7211.jpg http://mzimg.com/big/l1/ejd9woiv9l1.jpg http://mzimg.com/big/j1/ejd9wv1myj1.jpg;http://magazilla.ru/desc/korg-ds-dac-100m/;"<table>

<tr>

<td>Вид</td><td>ЦАП</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Аудиочип</td><td>Cirrus Logic CS4398</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>Core Audio, WDM, DSD</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Динамический диапазон</td><td>105 дБ</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>105 дБ</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1</td>
</tr>

</table>

";ЦАП;внешняя;USB;2;Cirrus Logic CS4398;Core Audio, WDM, DSD;да;24 бит;192 кГц;105 дБ;;1;;;да;;105 дБ;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;990225;;Звуковая карта RME HDSP 9652;Компьютерная техника->Комплектующие->Звуковые карты;45710,5;13.11.2021;;;5;"Макс. частота дискретизации (кГц): 96; Разрядность (бит): 24; Поддержка Mac; Количество каналов: 2; Интерфейс подключения: PCI; Тип: внутренняя; Вид: аудиоинтерфейс";;RME;0;;;;990225_131451333.jpg fa7uthrdpl1_1866071591.jpg;http://magazilla.ru/jpg_zoom1/990225.jpg http://mzimg.com/big/l1/fa7uthrdpl1.jpg;http://magazilla.ru/desc/rme-hdsp-9652/;"<table>

<tr>

<td>Вид</td><td>аудиоинтерфейс</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCI</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>MME, GSIF</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>3 / TosLink /</td>
</tr>

<tr>

<td>Коаксиальный S/P-DIF</td><td>1</td>
</tr>

<tr>

<td>MIDI</td><td>1</td>
</tr>

</table>

";аудиоинтерфейс;внутренняя;PCI;2;;MME, GSIF;да;24 бит;96 кГц;;;;3 / TosLink /;;да;;;1;;;1;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;647731;;Звуковая карта C-Media CMI8738-LX;Компьютерная техника->Комплектующие->Звуковые карты;781;21.11.2021;;;5;"Макс. частота дискретизации (кГц): 48; Разрядность (бит): 16; Количество каналов: 5.1; Интерфейс подключения: PCI; Тип: внутренняя; Вид: обычная <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>3</span> из <span property=""v:best"">5</span> (<span property=""v:count"">11</span> оценок)</span></div>";;C-Media;0;;;;647731_-1574929946.jpg;http://magazilla.ru/jpg_zoom1/647731.jpg;http://magazilla.ru/desc/c-media-cmi8738-lx/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCI / 2.1 /</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>CMI8738</td>
</tr>

<tr>

<td>Разрядность</td><td>16 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>48 кГц</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>4</td>
</tr>

</table>

";обычная;внутренняя;PCI / 2.1 /;05.янв;CMI8738;;;16 бит;48 кГц;;Усилитель для наушников;4;;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;345979;;Звуковая карта Asus Xonar D1;Компьютерная техника->Комплектующие->Звуковые карты;5175,5;09.07.2021;;;5;"Принадлежит к семейству игровых звуковых карт Xonar производства бренда Asus. Способна обеспечить реализацию 7.1-канальной аудиосистемы, может похвастаться поддержкой полного спектра технологий Dolby Home Theater. В основе устройства находится аудиочип AV100, позволяющий обрабатывать данные с частотой дискретизации до 192 кГц и максимальной глубиной в 24 бита. Соотношение сигнал/шум на уровне 116 дБ. Обратим внимание, что для подключения используется интерфейс PCI. В свою очередь, для интерфейса PCIе предусмотрена аналогичная модель XONAR DX. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>5</span> из <span property=""v:best"">5</span> (<span property=""v:count"">46</span> оценок)</span></div>";;Asus;0;;;;345979_-2135349303.jpg ebydyrx91g1_-1276252018.jpg;http://magazilla.ru/jpg_zoom1/345979.jpg http://mzimg.com/big/g1/ebydyrx91g1.jpg;http://magazilla.ru/desc/asus-xonar-d1/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCI</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>ASUS AV100</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>Dolby Digital Live, Dolby Headphone, Dolby Virtual Speaker / Dolby Pro Logic /</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>116 дБ</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";геймерская;внутренняя;PCI;07.янв;ASUS AV100;Dolby Digital Live, Dolby Headphone, Dolby Virtual Speaker / Dolby Pro Logic /;да;24 бит;192 кГц;116 дБ;;1 / линейный/микрофон /;1;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;990198;;Звуковая карта RME HDSP 9632;Компьютерная техника->Комплектующие->Звуковые карты;30343,5;18.02.2020;;;13;"Соотношение сигнал/шум (дБ): 110; Макс. частота дискретизации (кГц): 192; Разрядность (бит): 24; Поддержка Mac; Количество каналов: 2; Интерфейс подключения: PCI; Тип: внутренняя; Вид: аудиоинтерфейс <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>5</span> из <span property=""v:best"">5</span> (<span property=""v:count"">2</span> оценки)</span></div>";;RME;0;;;;990198_1271490028.jpg fa7tu14hru1_262308311.jpg fa7tua9c4i1_1936999619.jpg fa7tu6lyv31_1250451431.jpg;http://magazilla.ru/jpg_zoom1/990198.jpg http://mzimg.com/big/u1/fa7tu14hru1.jpg http://mzimg.com/big/i1/fa7tua9c4i1.jpg http://mzimg.com/big/31/fa7tu6lyv31.jpg;http://magazilla.ru/desc/rme-hdsp-9632/;"<table>

<tr>

<td>Вид</td><td>аудиоинтерфейс</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCI</td>
</tr>

<tr>

<td>Количество каналов</td><td>2</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>110 дБ</td>
</tr>

<tr>

<td>RCA</td><td>2</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>2 / 1xTosLink /</td>
</tr>

<tr>

<td>Коаксиальный S/P-DIF</td><td>1</td>
</tr>

<tr>

<td>MIDI</td><td>1</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1</td>
</tr>

<tr>

<td>Jack (6.35 мм)</td><td>1</td>
</tr>

</table>

";аудиоинтерфейс;внутренняя;PCI;2;;;да;24 бит;192 кГц;110 дБ;;1;2 / 1xTosLink /;2;да;;;1;1;;1;;;;;;;;;;;;;;
Компьютерная техника;Сетевое оборудование;3G / LTE модемы;519416;;Модем Huawei E3372;Компьютерная техника->Сетевое оборудование->3G / LTE модемы;2176,9;10.07.2020;;;9;"Вес (г): 35; Габариты (мм): 88x28x11.5; Питание: от USB; слот для SIM-карты; разъем для карты памяти; разъем для внешней антенны; 3mob; Интертелеком; Vodafone; lifecell; Киевстар; Йота; МегаФон; MTC; Билайн; EV-DO rev. A (до 3.1 Мбит/с); LTE (до 173 Мбит/с); HSPA+ (70 Мбит/с); HSDPA (до 14.4 Мбит/с) <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>5</span> из <span property=""v:best"">5</span> (<span property=""v:count"">14</span> оценок)</span></div>";;Huawei;0;;;;519416_-1216002098.jpg;http://magazilla.ru/jpg/519416.jpg;http://magazilla.ru/desc/huawei-e3372/;"<table>

<tr>

<td>Тип</td><td>модем (к устройству)</td>
</tr>

<tr>

<td>Поколение связи</td><td>2G, 3G, 4G (LTE)</td>
</tr>

<tr>

<td>Технология передачи</td><td>GPRS (до 80 Кбит/с), EDGE (до 240 Кбит/с), W-CDMA (до 2 Мбит/с), HSUPA (до 5.7 Мбит/с), HSDPA (до 14.4 Мбит/с), HSPA+ (70 Мбит/с), LTE (до 173 Мбит/с), EV-DO rev. A (до 3.1 Мбит/с)</td>
</tr>

<tr>

<td>Оператор (провайдер)</td><td>Билайн, MTC, МегаФон, Йота, Киевстар, lifecell, Vodafone, Интертелеком, 3mob</td>
</tr>

<tr>

<td>Функции/возможности</td><td>разъем для внешней антенны, разъем для карты памяти / microSD /, слот для SIM-карты</td>
</tr>

<tr>

<td>Подключение и разъемы</td><td>USB / 2.0 /</td>
</tr>

<tr>

<td>Питание</td><td>от USB</td>
</tr>

<tr>

<td>Габариты</td><td>88x28x11.5 мм</td>
</tr>

<tr>

<td>Вес</td><td>35 г</td>
</tr>

</table>

";;модем (к устройству);;;;;;;;;;;;;;;;;;;;2G, 3G, 4G (LTE);GPRS (до 80 Кбит/с), EDGE (до 240 Кбит/с), W-CDMA (до 2 Мбит/с), HSUPA (до 5.7 Мбит/с), HSDPA (до 14.4 Мбит/с), HSPA+ (70 Мбит/с), LTE (до 173 Мбит/с), EV-DO rev. A (до 3.1 Мбит/с);Билайн, MTC, МегаФон, Йота, Киевстар, lifecell, Vodafone, Интертелеком, 3mob;разъем для внешней антенны, разъем для карты памяти / microSD /, слот для SIM-карты;USB / 2.0 /;от USB;88x28x11.5 мм;35 г;;;;;;
Компьютерная техника;Сетевое оборудование;3G / LTE модемы;791478;;Модем Huawei E5573;Компьютерная техника->Сетевое оборудование->3G / LTE модемы;2970;28.12.2019;;;15;"Вес (г): 95; Питание: от аккумулятора; Ёмкость аккумулятора (мАч): 1500; слот для SIM-карты; разъем для внешней антенны; 3mob; Vodafone; lifecell; Киевстар; Йота; МегаФон; MTC; Билайн; LTE (до 173 Мбит/с); HSPA+ (70 Мбит/с); HSDPA (до 14.4 Мбит/с); HSUPA (до 5.7 Мбит/с); W-CDMA (до 2 Мбит/с); EDGE (до 240 Кбит/с) <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>5</span> из <span property=""v:best"">5</span> (<span property=""v:count"">5</span> оценок)</span></div>";;Huawei;0;;;;791478_942671321.jpg f2o3r52fhm1_-1218646795.jpg f2o3rdmlgw1_-734479379.jpg;http://magazilla.ru/jpg_zoom1/791478.jpg http://mzimg.com/big/m1/f2o3r52fhm1.jpg http://mzimg.com/big/w1/f2o3rdmlgw1.jpg;http://magazilla.ru/desc/huawei-e5573/;"<table>

<tr>

<td>Тип</td><td>переносная Wi-Fi точка</td>
</tr>

<tr>

<td>Поколение связи</td><td>2G, 3G, 4G (LTE)</td>
</tr>

<tr>

<td>Технология передачи</td><td>GPRS (до 80 Кбит/с), EDGE (до 240 Кбит/с), W-CDMA (до 2 Мбит/с), HSUPA (до 5.7 Мбит/с), HSDPA (до 14.4 Мбит/с), HSPA+ (70 Мбит/с), LTE (до 173 Мбит/с)</td>
</tr>

<tr>

<td>Оператор (провайдер)</td><td>Билайн, MTC, МегаФон, Йота, Киевстар, lifecell, Vodafone, 3mob</td>
</tr>

<tr>

<td>Функции/возможности</td><td>разъем для внешней антенны, слот для SIM-карты</td>
</tr>

<tr>

<td>Скорость подключения Wi-Fi</td><td>до 11 Мбит/сек (802.11b), до 54 Мбит/сек (802.11g), до 300 Мбит/сек (802.11n)</td>
</tr>

<tr>

<td>Радиус действия</td><td>10 м</td>
</tr>

<tr>

<td>Кол-во подключаемых устройств</td><td>10</td>
</tr>

<tr>

<td>Ёмкость аккумулятора</td><td>1500 мАч</td>
</tr>

<tr>

<td>Подключение и разъемы</td><td>microUSB, Wi-Fi</td>
</tr>

<tr>

<td>Питание</td><td>от аккумулятора</td>
</tr>

<tr>

<td>Вес</td><td>95 г</td>
</tr>

</table>

";;переносная Wi-Fi точка;;;;;;;;;;;;;;;;;;;;2G, 3G, 4G (LTE);GPRS (до 80 Кбит/с), EDGE (до 240 Кбит/с), W-CDMA (до 2 Мбит/с), HSUPA (до 5.7 Мбит/с), HSDPA (до 14.4 Мбит/с), HSPA+ (70 Мбит/с), LTE (до 173 Мбит/с);Билайн, MTC, МегаФон, Йота, Киевстар, lifecell, Vodafone, 3mob;разъем для внешней антенны, слот для SIM-карты;microUSB, Wi-Fi;от аккумулятора;;95 г;до 11 Мбит/сек (802.11b), до 54 Мбит/сек (802.11g), до 300 Мбит/сек (802.11n);10 м;10;1500 мАч;;
